window_start,site,nutrient,concentration
1988-01-05,Q1,k_mgl,0.8066666666666666
1988-01-05,Q1,mg_mgl,2.1926666666666668
1988-01-05,Q1,ca_mgl,3.42
1988-01-05,Q1,no3_mgl,155.06666666666666
1988-01-05,Q1,nh4_mgl,27.533333333333335
1988-03-08,Q1,k_mgl,0.89
1988-03-08,Q1,mg_mgl,1.976875
1988-03-08,Q1,ca_mgl,3.084375
1988-03-08,Q1,no3_mgl,207.8125
1988-03-08,Q1,nh4_mgl,22.125
1988-05-10,Q1,k_mgl,0.8811111111111111
1988-05-10,Q1,mg_mgl,2.183
1988-05-10,Q1,ca_mgl,2.985
1988-05-10,Q1,no3_mgl,157.5
1988-05-10,Q1,nh4_mgl,90.625
1988-07-12,Q1,k_mgl,0.7607692307692308
1988-07-12,Q1,mg_mgl,1.9523076923076923
1988-07-12,Q1,ca_mgl,2.686923076923077
1988-07-12,Q1,no3_mgl,63
1988-07-12,Q1,nh4_mgl,15.5
1988-09-13,Q1,k_mgl,0.7925
1988-09-13,Q1,mg_mgl,2.43875
1988-09-13,Q1,ca_mgl,3.665
1988-09-13,Q1,no3_mgl,140.55555555555554
1988-09-13,Q1,nh4_mgl,50.25
1988-11-15,Q1,k_mgl,0.8444444444444444
1988-11-15,Q1,mg_mgl,2.3722222222222222
1988-11-15,Q1,ca_mgl,4.15125
1988-11-15,Q1,no3_mgl,153.625
1988-11-15,Q1,nh4_mgl,NA
1989-01-17,Q1,k_mgl,0.9088888888888889
1989-01-17,Q1,mg_mgl,2.783333333333333
1989-01-17,Q1,ca_mgl,4.293333333333333
1989-01-17,Q1,no3_mgl,130.11111111111111
1989-01-17,Q1,nh4_mgl,NA
1989-03-21,Q1,k_mgl,0.8544444444444445
1989-03-21,Q1,mg_mgl,2.738888888888889
1989-03-21,Q1,ca_mgl,4.444444444444445
1989-03-21,Q1,no3_mgl,141.88888888888889
1989-03-21,Q1,nh4_mgl,NA
1989-05-23,Q1,k_mgl,0.9477777777777777
1989-05-23,Q1,mg_mgl,2.901111111111111
1989-05-23,Q1,ca_mgl,4.5344444444444445
1989-05-23,Q1,no3_mgl,123
1989-05-23,Q1,nh4_mgl,NA
1989-07-25,Q1,k_mgl,0.9344444444444444
1989-07-25,Q1,mg_mgl,2.6466666666666665
1989-07-25,Q1,ca_mgl,4.042222222222222
1989-07-25,Q1,no3_mgl,88.375
1989-07-25,Q1,nh4_mgl,NA
1989-09-26,Q1,k_mgl,1.3208333333333333
1989-09-26,Q1,mg_mgl,3.0154545454545456
1989-09-26,Q1,ca_mgl,4.2290909090909095
1989-09-26,Q1,no3_mgl,415.7142857142857
1989-09-26,Q1,nh4_mgl,NA
1989-11-28,Q1,k_mgl,1.1466666666666667
1989-11-28,Q1,mg_mgl,3.2266666666666666
1989-11-28,Q1,ca_mgl,5.8566666666666665
1989-11-28,Q1,no3_mgl,99
1989-11-28,Q1,nh4_mgl,NA
1990-01-30,Q1,k_mgl,1.2344444444444445
1990-01-30,Q1,mg_mgl,3.1666666666666665
1990-01-30,Q1,ca_mgl,5.546666666666667
1990-01-30,Q1,no3_mgl,211.375
1990-01-30,Q1,nh4_mgl,NA
1990-04-03,Q1,k_mgl,1.3628571428571428
1990-04-03,Q1,mg_mgl,2.5492857142857144
1990-04-03,Q1,ca_mgl,4.312857142857143
1990-04-03,Q1,no3_mgl,450.3076923076923
1990-04-03,Q1,nh4_mgl,NA
1990-06-05,Q1,k_mgl,1.1555555555555554
1990-06-05,Q1,mg_mgl,3.2333333333333334
1990-06-05,Q1,ca_mgl,5.4944444444444445
1990-06-05,Q1,no3_mgl,143.77777777777777
1990-06-05,Q1,nh4_mgl,NA
1990-08-07,Q1,k_mgl,0.8844444444444445
1990-08-07,Q1,mg_mgl,3.2688888888888887
1990-08-07,Q1,ca_mgl,5.841111111111111
1990-08-07,Q1,no3_mgl,80.83333333333333
1990-08-07,Q1,nh4_mgl,NA
1990-10-09,Q1,k_mgl,1.007
1990-10-09,Q1,mg_mgl,2.832
1990-10-09,Q1,ca_mgl,4.603
1990-10-09,Q1,no3_mgl,108.5
1990-10-09,Q1,nh4_mgl,NA
1990-12-11,Q1,k_mgl,0.983
1990-12-11,Q1,mg_mgl,2.988
1990-12-11,Q1,ca_mgl,5.297
1990-12-11,Q1,no3_mgl,155.375
1990-12-11,Q1,nh4_mgl,NA
1991-02-12,Q1,k_mgl,0.8210000000000001
1991-02-12,Q1,mg_mgl,3.145
1991-02-12,Q1,ca_mgl,5.656
1991-02-12,Q1,no3_mgl,65.9
1991-02-12,Q1,nh4_mgl,NA
1991-04-16,Q1,k_mgl,0.9255555555555556
1991-04-16,Q1,mg_mgl,2.9477777777777776
1991-04-16,Q1,ca_mgl,5.167777777777777
1991-04-16,Q1,no3_mgl,46.375
1991-04-16,Q1,nh4_mgl,NA
1991-06-18,Q1,k_mgl,0.7644444444444445
1991-06-18,Q1,mg_mgl,3.3777777777777778
1991-06-18,Q1,ca_mgl,5.622222222222223
1991-06-18,Q1,no3_mgl,32.42857142857143
1991-06-18,Q1,nh4_mgl,NA
1991-08-20,Q1,k_mgl,1.165
1991-08-20,Q1,mg_mgl,3.614
1991-08-20,Q1,ca_mgl,5.84
1991-08-20,Q1,no3_mgl,63.5
1991-08-20,Q1,nh4_mgl,NA
1991-10-22,Q1,k_mgl,1.1407692307692308
1991-10-22,Q1,mg_mgl,2.716153846153846
1991-10-22,Q1,ca_mgl,4.274615384615385
1991-10-22,Q1,no3_mgl,121.6923076923077
1991-10-22,Q1,nh4_mgl,NA
